dev,ino,size_bytes
2053,1062715,7383
2053,1062716,23568
2053,1062717,15368
2053,1062719,6878
2053,1062725,6860
2053,1333676,327287
2053,2493071,28138
2053,2493096,30143
2053,2493106,857
2053,2494216,3906
2053,2494217,807
2053,2494218,220
2053,2494232,259
2053,2494233,259
2053,2494235,263
2053,2494243,0
2053,2494245,0
2053,2494246,379
2053,2494247,1457
2053,2494248,0
2053,2494253,4
2053,2494310,263
2053,2494339,901
2053,2494343,1272
2053,2494346,2660
2053,2494374,234
2053,2494376,3694
2053,2494377,4
2053,2494378,1345
2053,2494379,1267
2053,2494386,2909
2053,2494390,552867
2053,2494391,559522
2053,2494392,78
2053,2494393,3116571
2053,2494394,3093823
2053,2494396,45
2053,2494398,64091
2053,2494399,1631
2053,2494403,943
2053,2494404,10
2053,2494405,6975
2053,2494410,95
2053,2494411,641
2053,2494412,123
2053,2494413,73
2053,2494416,2526
2053,2494417,8990
2053,2494420,2887
2053,2494424,7220
2053,2494426,2028
2053,2494427,8192
2053,2494428,172032
2053,2494429,12288
2053,2494430,28672
2053,2494431,256
2053,2494432,1310728
2053,2494433,53248
2053,2494434,3443
2053,2494437,4
2053,2494438,2701
2053,2494439,4
2053,2494440,80
2053,2494441,2872
2053,2494444,160
2053,2494445,173
2053,2494449,1678
2053,2494455,633
2053,2494457,5
2053,2494461,3370
2053,2494463,16384
2053,2494466,14387
2053,2494467,3149
2053,2494468,64
2053,2494470,32768
2053,2494472,1481
2053,2494479,3354
2053,2494483,2368
2053,2494493,1388
2053,2494504,1909
2053,2494506,2525
2053,2494508,1088
2053,2494511,86016
2053,2494515,1778
2053,2494516,0
2053,2494519,1959
2053,2494521,2225
2053,2494522,2464
2053,2494524,2504
2053,2494529,2007
2053,2494531,3182
2053,2494534,173
2053,2494535,5
2053,2494537,2532
2053,2494539,2360
2053,2494544,2
2053,2494545,898134016
2053,2494546,11
2053,2494547,2139
2053,2494548,10240000
2053,2494550,32768
2053,2494551,75913
2053,2494552,363086
2053,2494553,1377246
2053,2494554,1
2053,2494555,1
2053,2494556,1
2053,2494559,1781
2053,2494561,1968
2053,2494563,2530
2053,2494565,2528
2053,2494567,1423
2053,2494569,2791
2053,2494571,2071
2053,2494573,1674
2053,2494575,1645
2053,2494577,2634
2053,2494579,2464
2053,2494581,1731
2053,2494583,3123
2053,2494585,2935
2053,2494587,1196
2053,2494588,1720
2053,2494590,1540
2053,2494592,1846
2053,2494594,2532
2053,2494596,1948
2053,2494598,1568
2053,2494600,2729
2053,2494602,2509
2053,2494604,2222
2053,2494606,1507
2053,2494608,2601
2053,2494610,2603
2053,2494611,2842
2053,2494613,1821
2053,2494615,2659
2053,2494617,3363
2053,2494618,3184
2053,2494620,2815
2053,2494622,3132
2053,2494624,2527
2053,2494626,2886
2053,2494628,3008
2053,2494630,2879
2053,2494632,2364
2053,2494633,2531
2053,2494635,1948
2053,2494637,3239
2053,2494639,2529
2053,2494642,53
2053,2494645,3427
2053,2494646,2531
2053,2494647,1388
2053,2494648,2525
2053,2494650,1968
2053,2494652,2532
2053,2494654,3238
2053,2494656,2928
2053,2494658,2842
2053,2494660,2659
2053,2494662,2873
2053,2494664,3184
2053,2494666,2369
2053,2494667,1567
2053,2494669,1959
2053,2494670,2287
2053,2494671,245520
2053,2494673,2892
2053,2494674,2225
2053,2494675,1846
2053,2494677,2928
2053,2494680,2504
2053,2494681,2879
2053,2494682,360469
2053,2494683,2927
2053,2494684,2842
2053,2494685,2789
2053,2494691,2528
2053,2494693,2360
2053,2494694,2139
2053,2494696,1388
2053,2494698,2530
2053,2494699,1726
2053,2494701,3584
2053,2494702,2613
2053,2494704,2654
2053,2494706,3358
2053,2494708,3606
2053,2494710,2906
2053,2494712,2975
2053,2494714,3656
2053,2494715,2701
2053,2494717,2670
2053,2494719,2738
2053,2494721,2890
2053,2494723,2616
2053,2494725,2651
2053,2494727,1777
2053,2494729,2640
2053,2494730,2632
2053,2494731,2997
2053,2494732,2931
2053,2494734,3696
2053,2494735,2605
2053,2494736,2930
2053,2494738,3698
2053,2494739,2378
2053,2494741,1948
2053,2494742,2632
2053,2494744,2222
2053,2494745,2530
2053,2494747,2114
2053,2494748,2606
2053,2494749,4
2053,2494750,11533
2053,2494752,2526
2053,2494754,3132
2053,2494755,2886
2053,2494756,2927
2053,2494758,2358
2053,2494759,2602
2053,2494761,2528
2053,2494762,24
2053,2494763,0
2053,2494765,2601
2053,2494766,7540
2053,2494767,336
2053,2494768,178
2053,2494770,244195
2053,2494771,6717
2053,2494772,107839488
2053,2494773,21343436
2053,2494775,2978
2053,2494776,7546
2053,2494777,7203
2053,2494778,153456640
2053,2494779,575
2053,2494780,7373
2053,2494781,0
2053,2494782,7542
2053,2494783,9264
2053,2494784,864
2053,2494785,9001
2053,2494786,7544
2053,2494787,6771
2053,2494788,181
2053,2494789,26389
2053,2494790,449893
2053,2494791,31846
2053,2494792,178
2053,2494793,179
2053,2494794,7548
2053,2494795,179
2053,2494796,49779
2053,2494797,1199
2053,2494798,6721
2053,2494799,6758
2053,2494800,13358
2053,2494801,1267
2053,2494802,7645
2053,2494803,7546
2053,2494804,29848
2053,2494805,653440
2053,2494806,1111632
2053,2494808,644445
2053,2494809,5222535
2053,2494810,8965508
2053,2494811,165
2053,2494812,49778
2053,2494813,9292
2053,2494814,1267
2053,2494815,171127
2053,2494816,6805
2053,2494817,32178
2053,2494818,250014
2053,2494819,8232
2053,2494820,130956
2053,2494821,3697
2053,2494822,18508
2053,2494824,250014
2053,2494825,10173
2053,2494826,24112
2053,2494827,17721
2053,2494828,9254
2053,2494829,23770
2053,2494830,23770
2053,2494831,10659
2053,2494832,119
2053,2494833,12567
2053,2494834,119
2053,2494835,252890
2053,2494836,20807
2053,2494837,8232
2053,2494838,8234
2053,2494839,23803
2053,2494840,100
2053,2494841,8234
2053,2494842,10674
2053,2494843,11532
2053,2494844,256649
2053,2494845,257741
2053,2494847,798
2053,2494850,200
2053,2494853,36
2053,2494854,104
2053,2494855,312
2053,2494856,224
2053,2494858,104
2053,2494859,336
2053,2494860,208
2053,2494861,424
2053,2494862,192
2053,2494863,160
2053,2494864,112
2053,2494865,112
2053,2494866,120
2053,2494867,112
2053,2494868,120
2053,2494869,120
2053,2494870,120
2053,2494871,9424
2053,2494872,62112
2053,2494873,51736
2053,2494874,3568
2053,2494875,33112
2053,2494876,28056
2053,2494877,17712
2053,2494878,2360
2053,2494879,16640
2053,2494880,56432
2053,2494881,54136
2053,2494882,120
2053,2494886,10652
2053,2494888,2619
2053,2494889,0
2053,2494896,24
2053,2494897,24
2053,2494900,48
2053,2494901,48
2053,2494902,41
2053,2494903,16
2053,2494904,0
2053,2494909,24
2053,2494911,48
2053,2494914,24
2053,2494916,144
2053,2494917,7258
2053,2494918,153985024
2053,2494922,7614
2053,2494925,24
2053,2494927,24
2053,2494929,15
2053,2494931,48
2053,2494933,45056
2053,2494934,36864
2053,2494935,0
2053,2494936,0
2053,2494939,447
2053,2494940,28672
2053,2494941,36864
2053,2494944,36
2053,2494945,10101
2053,2494947,262512
2053,2494948,8192
2053,2494949,270336
2053,2494950,8192
2053,2494951,8192
2053,2494953,262512
2053,2494954,8192
2053,2494955,270336
2053,2494956,8192
2053,2494957,8192
2053,2494959,262512
2053,2494960,8192
2053,2494961,270336
2053,2494962,8192
2053,2494963,8192
2053,2494965,7610
2053,2494966,457305
2053,2494967,2995
2053,2494968,172032
2053,2494969,53248
2053,2494971,69
2053,2494972,3656
2053,2494973,2669
2053,2494974,451968
2053,2494976,2613
2053,2494977,13812
2053,2494979,3210
2053,2494980,8790640
2053,2494981,307
2053,2494982,1579
2053,2494983,7556
2053,2494984,9959
2053,2494985,1258
2053,2494986,36
2053,2494987,7193
2053,2494988,2530
2053,2494989,9863
